logId,userId,clickTime,categoryId,eventType
54,11,2023-05-11 12:17:57,2,click
55,11,2023-03-20 20:37:33,5,click
56,12,2023-10-15 09:03:04,16,click
57,12,2023-09-23 12:52:52,14,click
58,12,2023-03-24 05:30:23,8,click
59,12,2023-05-17 09:49:19,3,click
60,12,2023-12-25 04:32:40,21,click
61,13,2023-06-15 07:58:06,3,click
62,13,2023-06-13 10:01:57,9,click
63,13,2023-05-21 19:41:16,10,click
64,13,2023-10-04 12:04:13,13,click
65,13,2023-02-21 14:24:02,19,click
66,14,2023-11-18 23:18:35,13,click
67,14,2023-01-30 12:06:59,9,click
68,14,2023-12-22 21:57:54,33,click
69,14,2023-03-11 11:51:29,18,click
70,14,2023-06-19 06:01:58,17,click
71,15,2023-11-22 23:07:28,29,click
72,15,2023-03-03 07:32:32,19,click
73,15,2023-11-09 13:33:58,28,click
74,15,2023-05-22 22:35:11,2,click
75,15,2023-05-14 12:52:30,30,click
76,16,2023-10-23 12:31:11,6,click
77,16,2023-03-11 04:48:17,14,click
78,16,2023-02-14 19:54:03,18,click
79,16,2023-03-11 22:58:42,32,click
80,16,2023-02-07 12:30:31,1,click
81,17,2023-01-01 21:08:19,10,click
82,17,2023-03-24 16:16:44,31,click
83,17,2023-10-05 11:15:36,19,click
84,17,2023-03-11 23:16:49,12,click
85,17,2023-01-03 23:33:12,8,click
86,18,2023-04-01 12:53:35,15,click
87,18,2023-12-07 15:13:54,28,click
88,18,2023-08-22 17:08:04,1,click
89,18,2023-02-03 11:27:00,8,click
90,18,2023-11-11 17:46:22,11,click
91,19,2023-01-05 07:34:04,22,click
92,19,2023-06-07 00:50:07,7,click
93,19,2023-03-25 08:54:01,17,click
94,19,2023-07-12 14:06:01,3,click
95,19,2023-06-17 10:25:21,26,click
96,20,2023-05-31 01:58:42,5,click
97,20,2023-12-10 21:29:54,6,click
98,20,2023-01-06 21:57:40,19,click
99,20,2023-04-24 12:43:13,20,click
100,20,2023-09-06 03:25:18,24,click
101,21,2023-08-24 07:25:21,21,click
102,21,2023-09-08 05:00:16,22,click
103,21,2023-05-09 08:42:42,13,click
104,21,2023-06-15 02:57:57,19,click
105,21,2023-08-22 02:55:47,4,click
106,22,2023-08-21 05:17:35,27,click
107,22,2023-10-25 01:58:27,23,click
108,22,2023-07-30 02:59:11,26,click
109,22,2023-09-26 01:17:57,15,click
110,22,2023-06-27 09:57:42,9,click
111,23,2023-06-30 17:41:31,15,click
112,23,2023-03-31 01:19:30,32,click
113,23,2023-03-04 15:22:16,16,click
114,23,2023-07-26 02:43:05,24,click
115,23,2023-02-10 00:56:58,12,click
116,24,2023-03-15 16:19:06,31,click
117,24,2023-09-06 22:36:50,28,click
118,24,2023-02-07 12:51:56,21,click
119,24,2023-04-26 20:55:30,5,click
120,24,2023-08-09 05:53:55,29,click
121,25,2023-10-27 10:25:04,33,click
122,25,2023-10-28 20:45:35,20,click
123,25,2023-01-31 12:01:25,17,click
124,25,2023-07-02 04:25:13,25,click
125,25,2023-09-27 04:07:45,14,click
126,26,2023-03-03 02:02:07,12,click
127,26,2023-08-24 11:52:29,8,click
128,26,2023-08-14 05:07:20,24,click
129,26,2023-09-22 16:46:59,28,click
130,26,2023-12-13 14:01:10,16,click
131,27,2023-03-25 03:17:23,1,click
132,27,2023-10-14 03:53:51,14,click
133,27,2023-03-10 20:29:33,24,click
134,27,2023-05-20 07:08:35,9,click
135,27,2023-12-13 08:35:59,6,click
136,28,2023-01-17 09:52:55,13,click
137,28,2023-08-23 19:15:51,24,click
138,28,2023-05-20 12:27:49,12,click
139,28,2023-12-24 07:15:51,33,click
140,28,2023-02-24 22:48:45,23,click
141,29,2023-10-01 09:13:05,10,click
142,29,2023-09-19 02:17:33,17,click
143,29,2023-12-06 05:44:03,18,click
144,29,2023-11-15 20:08:45,7,click
145,29,2023-12-01 06:21:26,31,click
146,30,2023-11-12 05:25:35,2,click
147,30,2023-02-15 11:32:45,29,click
148,30,2023-09-14 07:27:51,14,click
149,30,2023-10-24 13:34:56,32,click
150,30,2023-06-10 22:08:21,3,click
151,31,2023-04-02 09:18:57,1,click
152,31,2023-08-06 22:43:51,31,click
153,31,2023-11-10 11:36:39,10,click
154,31,2023-01-09 12:45:02,17,click
155,31,2023-05-26 08:54:09,12,click
156,32,2023-03-17 08:50:11,25,click
157,32,2023-04-09 00:10:33,26,click
158,32,2023-12-12 14:41:26,20,click
159,32,2023-05-18 08:35:47,13,click
160,32,2023-06-13 21:19:14,11,click
161,33,2023-12-13 06:01:02,15,click
162,33,2023-03-13 10:48:07,19,click
163,33,2023-10-28 17:45:51,17,click
164,33,2023-12-28 02:28:36,26,click
165,33,2023-12-24 18:24:05,12,click
166,34,2023-05-04 07:22:03,33,click
167,34,2023-09-12 21:47:14,22,click
168,34,2023-11-03 23:59:28,12,click
169,34,2023-01-19 01:51:36,13,click
170,34,2023-07-05 17:09:58,7,click
171,35,2023-03-27 21:49:55,2,click
172,35,2023-01-16 01:07:52,20,click
173,35,2023-11-03 01:17:28,33,click
174,35,2023-06-02 22:12:41,12,click
175,35,2023-01-04 20:45:32,11,click
176,36,2023-08-30 23:20:39,6,click
177,36,2023-09-20 05:04:18,9,click
178,36,2023-02-13 00:00:19,18,click
179,36,2023-08-20 15:19:49,33,click
180,36,2023-05-03 13:25:29,31,click
181,37,2023-01-15 01:21:43,16,click
182,37,2023-09-30 07:07:33,22,click
183,37,2023-03-20 02:53:03,9,click
184,37,2023-07-19 10:10:56,33,click
185,37,2023-11-07 08:33:24,26,click
186,38,2023-12-25 19:22:54,22,click
187,38,2023-09-20 09:10:29,27,click
188,38,2023-08-18 17:42:56,3,click
189,38,2023-04-30 07:49:02,5,click
190,38,2023-07-03 14:39:16,9,click
191,39,2023-03-31 09:06:15,10,click
192,39,2023-07-05 19:17:50,1,click
193,39,2023-11-10 06:49:57,20,click
194,39,2023-06-26 10:36:00,23,click
195,39,2023-10-22 07:51:34,8,click
196,40,2023-02-04 20:02:49,30,click
197,40,2023-11-19 21:14:46,16,click
198,40,2023-04-25 09:17:31,12,click
199,40,2023-08-28 01:51:27,4,click
200,40,2023-03-14 13:48:19,26,click
201,41,2023-03-15 01:11:02,17,click
202,41,2023-12-28 05:14:50,28,click
203,41,2023-05-19 07:12:17,5,click
204,41,2023-06-02 19:38:28,24,click
205,41,2023-06-04 01:38:47,31,click
206,42,2023-03-15 08:42:25,7,click
207,42,2023-02-20 10:22:56,30,click
208,42,2023-01-24 12:06:53,21,click
209,42,2023-04-18 15:16:33,28,click
210,42,2023-04-12 08:23:11,4,click
211,43,2023-09-22 00:08:49,33,click
212,43,2023-05-15 20:10:16,19,click
213,43,2023-06-07 03:31:05,14,click
214,43,2023-10-09 11:47:50,4,click
215,43,2023-05-10 19:56:49,10,click
216,44,2023-05-06 17:46:20,24,click
217,44,2023-04-10 15:14:30,17,click
218,44,2023-02-05 06:57:35,13,click
219,44,2023-12-19 00:53:44,8,click
220,44,2023-06-28 23:33:41,3,click
221,45,2023-02-10 12:13:18,20,click
222,45,2023-03-28 09:35:21,28,click
223,45,2023-11-04 05:11:46,5,click
224,45,2023-09-28 15:56:01,16,click
225,45,2023-12-18 18:09:14,12,click
226,46,2023-04-06 07:09:58,13,click
227,46,2023-08-25 14:57:54,18,click
228,46,2023-11-03 14:03:59,32,click
229,46,2023-12-19 18:08:01,28,click
230,46,2023-01-01 18:42:58,29,click
231,47,2023-10-01 14:08:49,17,click
232,47,2023-12-17 16:58:20,21,click
233,47,2023-01-05 16:05:43,4,click
234,47,2023-07-12 15:29:27,13,click
235,47,2023-12-20 15:08:42,28,click
236,48,2023-06-13 20:54:40,12,click
237,48,2023-08-21 21:21:30,4,click
238,48,2023-06-13 07:01:43,9,click
239,48,2023-05-14 13:14:12,21,click
240,48,2023-02-19 20:22:38,29,click
241,49,2023-09-17 11:29:35,28,click
242,49,2023-09-24 02:32:59,15,click
243,49,2023-06-30 00:01:34,13,click
244,49,2023-03-21 06:19:34,19,click
245,49,2023-07-03 19:57:30,21,click
246,50,2023-05-29 15:42:49,7,click
247,50,2023-10-05 03:36:44,11,click
248,50,2023-08-05 00:38:43,26,click
249,50,2023-06-28 07:34:32,20,click
250,50,2023-06-02 23:10:20,3,click
